Metric,Point estimate,CI 2.5%,CI 97.5%,Valid bootstrap samples
Accuracy,0.6875,0.53125,0.84375,4999
Balanced Accuracy,0.625,0.4166666666666667,0.8260582010582016,4999
Precision,0.8181818181818182,0.64,0.9565217391304348,4999
Recall/Sensitivity,0.75,0.56,0.9166666666666666,4999
Specificity,0.5,0.14285714285714285,0.8571428571428571,4999
NPV,0.4,0.1,0.75,4999
F1-macro,0.6135265700483092,0.4166666666666667,0.782312925170068,4999
ROC-AUC,0.7395833333333333,0.4740740740740741,0.9464285714285714,4999
Brier score,0.21462450560246463,0.13319054379328155,0.30774093977928907,4999
