Metric,Point estimate,CI 2.5%,CI 97.5%,Valid bootstrap samples
Accuracy,0.6875,0.5,0.84375,999
Balanced Accuracy,0.625,0.4219417679095098,0.8399786324786322,999
Precision,0.8181818181818182,0.6363636363636364,0.96,999
Recall/Sensitivity,0.75,0.5416666666666666,0.9166666666666666,999
Specificity,0.5,0.16666666666666666,0.8580357142857135,999
NPV,0.4,0.1,0.75,999
F1-macro,0.6135265700483092,0.4181818181818182,0.7828076685219537,999
ROC-AUC,0.7395833333333333,0.4799583333333333,0.9485714285714286,999
Brier score,0.21462450560246463,0.13276607154710185,0.30669252376887923,999
