Outer fold,Model,Aggregation,C,class_weight,Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
1,Logistic Regression,median,0.01,,0.3561690658564761,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.0,0.38461538461538464,0.6666666666666666,0.21791378989146634
2,Logistic Regression,median,0.01,balanced,0.397735440258287,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.3333333333333333,0.5636363636363637,0.75,0.2209831818533299
3,Logistic Regression,median,100.0,,0.5,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.5,0.6666666666666667,0.5833333333333334,0.24841065137710047
4,Logistic Regression,median,0.01,balanced,0.45261184650029723,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.5,0.7333333333333334,1.0,0.17119039928796184
